school_id,short_name,is_high_school
610105,ORIOLE PARK,False
610033,LASALLE,False
610295,HIGGINS,False
610298,LENART,False
610291,LEE,False
610032,GREEN,False
610368,HUGHES L,False
609897,EARLE,False
610026,KINZIE,False
400126,YCCS - ASSOCIATION HOUSE,True
609741,HUBBARD HS,True
610315,WHITE,False
609986,HENDERSON,False
610009,GALILEO,False
609793,NICHOLSON,False
610402,DEVRY HS,True
609857,CLEVELAND,False
609774,ALCOTT ES,False
610573,CAMELOT - SAFE HS,True
400118,NOBLE - DRW HS,True
610024,CARDENAS,False
610254,DVORAK,False
610195,SUTHERLAND,False
610305,LELAND,False
610152,RUGGLES,False
610081,SHERIDAN,False
610542,WEST RIDGE,False
609870,CORKERY,False
610533,PRIETO,False
610571,OMBUDSMAN - WEST HS,True
610137,PRUSSING,False
609805,JOPLIN,False
610274,JOHNSON,False
609813,BROWNELL,False
610208,LAVIZZO,False
400128,YCCS - CCA ACADEMY,True
609966,HAMMOND,False
610178,SCHMID,False
610287,ASHBURN,False
400124,YCCS - MCKINLEY,True
609692,SIMEON HS,True
609693,WESTINGHOUSE HS,True
610076,MOOS,False
609975,HAY,False
609833,CALDWELL,False
609756,CURIE HS,True
610084,KELLER,False
609709,GAGE PARK HS,True
610238,BOND,False
610111,PALMER,False
609807,HAMPTON,False
400068,PLATO,False
400043,HOPE LEARNING ACADEMY,False
609869,LANGFORD,False
609727,PHILLIPS HS,True
609933,GALE,False
609738,LINCOLN PARK HS,True
609695,AMUNDSEN HS,True
610226,SANDOVAL,False
610544,AZUELA,False
610229,PRITZKER,False
609995,HITCH,False
610188,DUNNE,False
609942,GOETHE,False
610115,PARK MANOR,False
610016,KELLOGG,False
609821,BURNHAM,False
610078,INTER-AMERICAN,False
609835,CAMERON,False
400117,NOBLE - HANSBERRY HS,True
610530,SOUTH SHORE ES,False
609996,HOLDEN,False
609845,CARVER G,False
609963,HAMILTON,False
610074,MONROE,False
400021,CATALYST - CIRCLE ROCK,False
400026,CICS - LOOMIS,False
610228,WHITTIER,False
609674,CHICAGO VOCATIONAL HS,True
610003,CUFFE,False
610088,MOZART,False
610068,HANSON PARK,False
